Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Larimar,Crafting,12541,,450,1500,1500,2422.853242320819,78.61471575921563
Basilisk Whetstone,Crafting,5262,999,499,200,291,612.2325581395348,103.83558741614897
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.4880092214443534
Titanium Ingot,Crafting,12525,,1500,1149,400,1918.7465753424658,117.51875433044216
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1273.3325991189427,121.81140881239031
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,890.019801980198,108.39556707515915
Adamantite Nugget,Crafting,12526,820,499,800,1499,851.832,100.61447082785399
Adamantite Rivets,Crafting,12530,6,6,506,250,562.8307692307692,34.87960503619154
Birch Lumber,Crafting,12583,600,150,600,600,2359.5,37.02596001393228
Cassia Block,Crafting,13758,4000,2096,2000,4650,4650,2.146427609188369
Astral Oil,Crafting,12606,3000,1001,900,969,1723.5116279069769,11.537022526878648
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.683022421754898
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.26830165653832305
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,4000,3987,3850,3850,4938.136363636364,5.902609875838505
Hardsilver Ingot,Crafting,12521,3000,800,3250,5000,2104.219895287958,51.24527155702491
Platinum Ingot,Crafting,9360,4,2,98,90,59.38505280259951,330.2763630515142
Pure Titanium Plate,Crafting,26532,,38038,30000,30000,,
Rhodonite,Crafting,19967,2000,1200,1999,1999,5175.413793103448,7.78063969801095
Aurum Regis Ingot,Crafting,12523,249,99,500,480,584.3333333333334,24.95165008422029
Dragon Leather,Crafting,12565,1000,200,1200,152,758.4148936170212,25.219878811515205
Gagana Leather,Crafting,19993,795,98,969,990,689.0071942446043,37.2931413532631
High Mythrite Ingot,Crafting,14146,6489,2499,4008,8,4307.168421052632,25.48805914485317
Mythrite Rivets,Crafting,12528,2700,1840,2999,500,2251.8823529411766,4.561011143077825
Tempered Glass,Crafting,16908,,8495,10000,15420,15420,2.682941641849082
Wing Glue,Crafting,5507,2180,2000,2190,2100,2934.185185185185,14.487853132617369
Beech Lumber,Crafting,19925,375,9,399,949,1097.8192307692307,69.75617063865965
Eikon Iron Ingot,Crafting,14149,750,647,2099,2099,1637,19.58533718111413
Koppranickel Nugget,Crafting,19938,579,150,320,795,929.0071174377224,75.38996384830718
Molybdenum Ingot,Crafting,19947,600,600,900,850,949.9128440366973,116.97491843221296
Triphane,Crafting,19962,200,200,585,900,552.068493150685,19.58520703600664
