Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Titanium Ingot,Crafting,12525,,1500,1149,400,1918.7465753424658,118.41384222577437
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1273.3325991189427,122.73918408905642
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,890.019801980198,109.22114874764989
Adamantite Nugget,Crafting,12526,820,499,800,1499,851.832,101.38070990308132
Adamantite Rivets,Crafting,12530,6,6,506,250,562.8307692307692,35.145233538175134
Birch Lumber,Crafting,12583,600,150,600,600,2359.5,37.3079337272798
Cassia Block,Crafting,13758,4000,2096,2000,4650,4650,2.162773768340056
Astral Oil,Crafting,12606,3000,1001,900,969,1723.5116279069769,11.624882992563501
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.7034550374375206
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.2703448971763291
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,4000,3987,3850,3850,4938.136363636364,5.947556304277862
Hardsilver Ingot,Crafting,12521,3000,800,3250,5000,2104.219895287958,51.63548393584013
Platinum Ingot,Crafting,9360,4,2,98,90,59.38505280259951,332.79128857820746
Pure Titanium Plate,Crafting,26532,,38038,30000,30000,,
Rhodonite,Crafting,19967,2000,1200,1999,1999,5175.413793103448,7.83988925938311
Aurum Regis Ingot,Crafting,12523,249,99,500,480,584.3333333333334,25.14165714032573
Dragon Leather,Crafting,12565,1000,200,1200,152,758.4148936170212,25.411940340500067
Gagana Leather,Crafting,19993,795,98,969,990,689.0071942446043,37.57714575612066
High Mythrite Ingot,Crafting,14146,6489,2499,4008,8,4307.168421052632,25.68214675584652
Mythrite Rivets,Crafting,12528,2700,1840,2999,500,2251.8823529411766,4.595742527620586
Tempered Glass,Crafting,16908,,8495,10000,15420,15420,2.7033719491673067
Wing Glue,Crafting,5507,2180,2000,2190,2100,2934.185185185185,14.598175496818325
Beech Lumber,Crafting,19925,375,9,399,949,1097.8192307692307,70.28735281120599
